date,current_balance 
1536559200,0.8484218470941002 
1536566400,0.8484218470941002 
1536573600,0.8484218470941002 
1536580800,0.8484218470941002 
1536588000,0.8484218470941002 
1536595200,0.8484218470941002 
1536602400,0.8484218470941002 
1536609600,0.8484218470941002 
1536616800,0.8484218470941002 
1536624000,0.8484218470941002 
1536631200,0.8484218470941002 
1536638400,0.8484218470941002 
1536645600,0.8484218470941002 
1536652800,0.8484218470941002 
1536660000,0.8484218470941002 
1536667200,0.8484218470941002 
1536674400,0.8484218470941002 
1536681600,0.8484218470941002 
1536688800,0.8484218470941002 
1536696000,0.8484218470941002 
1536703200,0.8484218470941002 
1536710400,0.8484218470941002 
1536717600,0.8484218470941002 
1536724800,0.8484218470941002 
1536732000,0.8484218470941002 
1536739200,0.8484218470941002 
1536746400,0.8484218470941002 
1536753600,0.8484218470941002 
1536760800,0.8484218470941002 
1536768000,0.8484218470941002 
1536775200,0.8484218470941002 
1536782400,0.8484218470941002 
1536789600,0.8484218470941002 
1536796800,0.8484218470941002 
1536804000,0.8484218470941002 
1536811200,0.8484218470941002 
1536818400,0.8484218470941002 
1536825600,0.8484218470941002 
1536832800,0.8484218470941002 
1536840000,0.8484218470941002 
1536847200,0.8484218470941002 
1536854400,0.8484218470941002 
1536861600,0.8484218470941002 
1536868800,0.8484218470941002 
1536876000,0.8484218470941002 
1536883200,0.8484218470941002 
1536890400,0.8484218470941002 
1536897600,0.8484218470941002 
1536904800,0.8484218470941002 
1536912000,0.8484218470941002 
1536919200,0.8484218470941002 
1536926400,0.8484218470941002 
1536933600,0.8484218470941002 
1536940800,0.8484218470941002 
1536948000,0.8484218470941002 
1536955200,0.8484218470941002 
1536962400,0.8484218470941002 
1536969600,0.8484218470941002 
1536976800,0.8484218470941002 
1536984000,0.8484218470941002 
1536991200,0.8484218470941002 
1536998400,0.8484218470941002 
1537005600,0.8484218470941002 
1537012800,0.8484218470941002 
1537020000,0.8484218470941002 
1537027200,0.8484218470941002 
1537034400,0.8484218470941002 
1537041600,0.8484218470941002 
1537048800,0.8484218470941002 
1537056000,0.8484218470941002 
1537063200,0.8484218470941002 
1537070400,0.8484218470941002 
1537077600,0.8484218470941002 
1537084800,0.8484218470941002 
1537092000,0.8484218470941002 
1537099200,0.8484218470941002 
1537106400,0.8484218470941002 
1537113600,0.8484218470941002 
1537120800,0.8484218470941002 
1537128000,0.8484218470941002 
1537135200,0.8484218470941002 
1537142400,0.8484218470941002 
1537149600,0.8484218470941002 
1537156800,0.8484218470941002 
1537164000,0.8484218470941002 
1537171200,0.8484218470941002 
1537178400,0.8484218470941002 
1537185600,0.8484218470941002 
1537192800,0.8484218470941002 
1537200000,0.8484218470941002 
1537207200,0.8484218470941002 
1537214400,0.8484218470941002 
1537221600,0.8484218470941002 
1537228800,0.8484218470941002 
1537236000,0.8484218470941002 
1537243200,0.8484218470941002 
1537250400,0.8484218470941002 
1537257600,0.8484218470941002 
1537264800,0.8484218470941002 
1537272000,0.8484218470941002 
1537279200,0.8484218470941002 
1537286400,0.8484218470941002 
1537293600,0.8484218470941002 
1537300800,0.8484218470941002 
1537308000,0.8484218470941002 
1537315200,0.8484218470941002 
1537322400,0.8484218470941002 
1537329600,0.8484218470941002 
1537336800,0.8484218470941002 
1537344000,0.8484218470941002 
1537351200,0.8484218470941002 
1537358400,0.8484218470941002 
1537365600,0.8484218470941002 
1537372800,0.8484218470941002 
1537380000,0.8484218470941002 
1537387200,0.8484218470941002 
1537394400,0.8484218470941002 
1537401600,0.8484218470941002 
1537408800,0.8484218470941002 
1537416000,0.8484218470941002 
1537423200,0.8484218470941002 
1537430400,0.8484218470941002 
1537437600,0.8484218470941002 
1537444800,0.8484218470941002 
1537452000,0.8484218470941002 
1537459200,0.8484218470941002 
1537466400,0.8484218470941002 
1537473600,0.8484218470941002 
1537480800,0.8484218470941002 
1537488000,0.8484218470941002 
1537495200,0.8484218470941002 
1537502400,0.8484218470941002 
1537509600,0.8484218470941002 
1537516800,0.8484218470941002 
