,index,date,open,high,low,close,volume,std_close,std_high,std_low,std_open,avg_vol_3
162,162,1579964400000,0.043,0.0433,0.0429,0.0433,3522.4,1.0,1.0,0.9907621247113164,0.9930715935334873,0
163,163,1579968000000,0.0434,0.0437,0.0434,0.0437,33064.4,1.0,1.0,0.9931350114416475,0.9931350114416475,0
164,164,1579971600000,0.0436,0.0436,0.0435,0.0435,2225.0,0.9977064220183486,1.0,0.9977064220183486,1.0,1
165,165,1579975200000,0.0434,0.0435,0.0434,0.0435,13645.2,1.0,1.0,0.9977011494252874,0.9977011494252874,1
166,166,1579978800000,0.0432,0.0435,0.0432,0.0435,98116.4,1.0,1.0,0.9931034482758622,0.9931034482758622,0
167,167,1579982400000,0.0435,0.0435,0.0434,0.0435,52920.7,1.0,1.0,0.9977011494252874,1.0,1
168,168,1579986000000,0.044,0.044,0.0436,0.0438,49433.4,0.9954545454545455,1.0,0.990909090909091,1.0,1
169,169,1579989600000,0.0438,0.0439,0.0434,0.0434,23239.6,0.9886104783599089,1.0,0.9886104783599089,0.9977220956719817,1
170,170,1579993200000,0.0433,0.0435,0.0431,0.0433,25343.7,0.9954022988505747,1.0,0.9908045977011495,0.9954022988505747,1
171,171,1579996800000,0.043,0.0431,0.0429,0.043,51835.5,0.9976798143851507,1.0,0.9953596287703017,0.9976798143851507,0
172,172,1580000400000,0.043,0.0432,0.043,0.0431,39223.3,0.9976851851851851,1.0,0.9953703703703702,0.9953703703703702,0
173,173,1580004000000,0.0432,0.0432,0.043,0.043,11446.9,0.9953703703703702,1.0,0.9953703703703702,1.0,1
174,174,1580007600000,0.0431,0.0434,0.0431,0.0432,46148.9,0.9953917050691244,1.0,0.9930875576036866,0.9930875576036866,0
175,175,1580011200000,0.0431,0.0431,0.043,0.043,7696.8,0.9976798143851507,1.0,0.9976798143851507,1.0,1
176,176,1580014800000,0.0433,0.0433,0.0433,0.0433,695.0,1.0,1.0,1.0,1.0,1
177,177,1580018400000,0.0433,0.0433,0.0432,0.0432,87714.8,0.9976905311778292,1.0,0.9976905311778292,1.0,0
178,178,1580022000000,0.043,0.0431,0.043,0.0431,17227.7,1.0,1.0,0.9976798143851507,0.9976798143851507,1
179,179,1580025600000,0.0434,0.0435,0.0434,0.0435,11649.6,1.0,1.0,0.9977011494252874,0.9977011494252874,1
180,180,1580029200000,0.0437,0.0437,0.0437,0.0437,1373.1,1.0,1.0,1.0,1.0,1
181,181,1580032800000,0.0437,0.0438,0.0437,0.0437,25658.9,0.9977168949771691,1.0,0.9977168949771691,0.9977168949771691,0
182,182,1580036400000,0.0437,0.0437,0.0437,0.0437,0.0,1.0,1.0,1.0,1.0,1
183,183,1580040000000,0.0439,0.0439,0.0437,0.0437,11881.5,0.9954441913439636,1.0,0.9954441913439636,1.0,1
184,184,1580043600000,0.0439,0.0439,0.0436,0.0438,36976.3,0.9977220956719817,1.0,0.9931662870159453,1.0,0
185,185,1580047200000,0.0435,0.0438,0.0435,0.0438,14613.3,1.0,1.0,0.9931506849315068,0.9931506849315068,1
186,186,1580050800000,0.0437,0.0437,0.0437,0.0437,11723.2,1.0,1.0,1.0,1.0,1
187,187,1580054400000,0.0437,0.0439,0.0435,0.0436,62137.9,0.9931662870159453,1.0,0.990888382687927,0.9954441913439636,0
188,188,1580058000000,0.0437,0.0441,0.0437,0.044,50993.5,0.9977324263038548,1.0,0.9909297052154196,0.9909297052154196,0
189,189,1580061600000,0.0441,0.0443,0.0441,0.0443,48584.1,1.0,1.0,0.9954853273137698,0.9954853273137698,1
190,190,1580065200000,0.0438,0.0441,0.0438,0.044,26623.8,0.9977324263038548,1.0,0.9931972789115646,0.9931972789115646,1
191,191,1580068800000,0.0443,0.0445,0.0441,0.0443,80595.1,0.9955056179775281,1.0,0.9910112359550562,0.9955056179775281,0
192,192,1580072400000,0.0443,0.0445,0.0443,0.0444,92283.9,0.9977528089887642,1.0,0.9955056179775281,0.9955056179775281,0
193,193,1580076000000,0.0444,0.0444,0.0443,0.0443,2358.8,0.9977477477477477,1.0,0.9977477477477477,1.0,1
194,194,1580079600000,0.0445,0.0446,0.0441,0.0444,6657.6,0.9955156950672646,1.0,0.9887892376681614,0.9977578475336322,1
195,195,1580083200000,0.0447,0.0451,0.0447,0.0448,14619.6,0.9933481152993348,1.0,0.9911308203991129,0.9911308203991129,0
196,196,1580086800000,0.0451,0.0452,0.0451,0.0451,25454.8,0.9977876106194691,1.0,0.9977876106194691,0.9977876106194691,0
197,197,1580090400000,0.045,0.045,0.0448,0.0448,23188.7,0.9955555555555555,1.0,0.9955555555555555,1.0,0
198,198,1580094000000,0.0448,0.0449,0.0447,0.0448,64733.4,0.997772828507795,1.0,0.9955456570155901,0.997772828507795,0
199,199,1580097600000,0.045,0.045,0.0446,0.0446,22212.4,0.9911111111111112,1.0,0.9911111111111112,1.0,1
200,200,1580101200000,0.0446,0.0446,0.0445,0.0445,51893.1,0.9977578475336322,1.0,0.9977578475336322,1.0,0
