time,open,high,low,close,vwap,vol
1566633600,9.763,9.763,9.596,9.665,9.670,150.43064345,26
1566648000,9.673,9.746,9.648,9.675,9.695,156.94374523,16
1566662400,9.675,9.799,9.621,9.799,9.694,49.60602348,9
1566676800,9.799,9.868,9.744,9.843,9.807,302.03567478,44
1566691200,9.843,9.843,9.768,9.768,9.798,92.52072000,7
1566705600,9.768,9.819,9.768,9.819,9.819,20.39000000,1
1566720000,9.819,9.834,9.779,9.779,9.815,64.66651419,6
1566734400,9.762,9.833,9.657,9.657,9.731,268.47162160,42
1566748800,9.666,9.703,9.507,9.624,9.624,300.72288749,33
1566763200,9.585,9.608,9.371,9.571,9.494,523.05078006,63
1566777600,9.571,9.807,9.571,9.608,9.723,809.68298892,59
1566792000,9.651,9.651,9.616,9.616,9.626,8.36117779,3
1566806400,9.616,9.660,9.616,9.654,9.646,108.26985141,13
1566820800,9.654,9.695,9.654,9.694,9.689,82.77553900,10
1566835200,9.694,9.694,9.591,9.621,9.619,121.83229035,13
1566849600,9.634,9.686,9.585,9.608,9.620,481.98513069,36
1566864000,9.652,9.652,9.468,9.468,9.628,45.98231411,6
1566878400,9.534,9.564,9.507,9.507,9.547,114.22216398,10
1566892800,9.507,9.564,9.465,9.489,9.491,200.97468208,20
1566907200,9.429,9.630,9.429,9.586,9.537,89.43226638,9
1566921600,9.586,9.627,9.527,9.527,9.558,333.47880099,22
1566936000,9.527,9.527,9.306,9.393,9.335,2135.17235770,142
1566950400,9.393,9.393,9.261,9.261,9.324,277.33438377,45
1566964800,9.272,9.281,9.244,9.272,9.265,76.53974216,16
1566979200,9.253,9.268,9.200,9.200,9.226,117.60447913,26
1566993600,9.200,9.216,9.161,9.204,9.205,147.43895487,18
1567008000,9.204,9.222,8.352,8.353,8.819,1191.63943815,166
1567022400,8.368,8.383,8.170,8.381,8.292,827.98576945,141
1567036800,8.392,8.481,8.022,8.103,8.234,1554.20243927,153
1567051200,8.103,8.139,7.881,7.896,8.001,672.44076899,65
1567065600,7.908,8.024,7.879,8.000,7.927,173.05816396,18
1567080000,7.984,8.141,7.984,8.090,8.027,4799.88880844,208
1567094400,8.090,8.157,8.053,8.060,8.088,241.15097869,32
1567108800,8.060,8.077,8.040,8.077,8.057,474.17878484,18
1567123200,8.061,8.061,8.005,8.030,8.029,354.34104660,19
1567137600,8.030,8.146,8.030,8.134,8.134,39.45353613,8
1567152000,8.126,8.357,8.126,8.357,8.213,349.93768141,50
1567166400,8.357,8.388,8.332,8.354,8.340,617.13372954,23
1567180800,8.319,8.319,8.121,8.166,8.261,390.60691450,31
1567195200,8.166,8.169,8.130,8.130,8.165,34.10339144,3
1567209600,8.130,8.187,8.112,8.112,8.166,47.25000000,5
1567224000,8.112,8.112,8.097,8.106,8.104,16.09593564,3
1567238400,8.093,8.093,8.088,8.088,8.092,11.96159504,2
1567252800,8.088,8.091,8.009,8.011,8.066,242.45755596,29
1567267200,8.012,8.030,7.978,7.978,8.022,136.79131372,10
1567281600,7.978,8.040,7.832,7.983,7.908,346.68508180,50
1567296000,7.983,8.086,7.964,8.086,8.057,323.14740379,32
1567310400,8.086,8.086,8.071,8.071,8.071,0.55460000,1
