,DASHUSD,last
215,"[1564286400, '110.540', '111.578', '110.540', '111.511', '111.115', '22.18487290', 19]",1571529600
216,"[1564300800, '111.511', '111.511', '110.682', '111.112', '111.090', '3.67180526', 12]",1571529600
217,"[1564315200, '111.112', '111.112', '110.279', '110.301', '110.438', '5.57410719', 12]",1571529600
218,"[1564329600, '110.301', '110.828', '109.059', '109.059', '110.108', '16.95255739', 10]",1571529600
219,"[1564344000, '109.041', '109.041', '102.414', '108.217', '105.144', '628.09803722', 265]",1571529600
220,"[1564358400, '107.363', '109.638', '106.714', '108.051', '108.601', '121.18179543', 51]",1571529600
221,"[1564372800, '108.051', '108.378', '107.247', '107.802', '107.840', '11.08548446', 8]",1571529600
222,"[1564387200, '107.802', '107.802', '105.000', '106.274', '105.889', '25.89311806', 36]",1571529600
223,"[1564401600, '105.851', '106.186', '104.917', '105.778', '105.544', '71.11121430', 73]",1571529600
224,"[1564416000, '104.776', '107.771', '104.007', '104.721', '105.929', '119.71090933', 122]",1571529600
225,"[1564430400, '105.170', '105.721', '104.935', '105.721', '105.216', '70.54978188', 27]",1571529600
226,"[1564444800, '105.715', '105.721', '104.170', '104.170', '104.671', '16.37677200', 6]",1571529600
227,"[1564459200, '104.170', '105.021', '103.883', '104.594', '104.262', '57.70972110', 24]",1571529600
228,"[1564473600, '104.594', '107.760', '104.368', '106.069', '106.383', '455.58431008', 52]",1571529600
229,"[1564488000, '106.069', '107.560', '105.822', '106.982', '106.846', '128.98703787', 53]",1571529600
230,"[1564502400, '107.263', '107.263', '105.976', '105.976', '106.462', '150.03772071', 80]",1571529600
231,"[1564516800, '105.976', '106.207', '104.900', '104.974', '105.505', '10.24653226', 12]",1571529600
232,"[1564531200, '105.358', '106.052', '104.649', '105.213', '105.232', '75.84085758', 40]",1571529600
233,"[1564545600, '105.213', '106.123', '104.889', '105.341', '105.515', '114.91131981', 34]",1571529600
234,"[1564560000, '105.341', '106.111', '105.175', '105.570', '105.986', '51.47677023', 22]",1571529600
235,"[1564574400, '105.570', '108.180', '105.546', '107.646', '107.690', '223.39697327', 41]",1571529600
236,"[1564588800, '107.646', '107.906', '105.000', '106.372', '105.266', '2272.06875738', 230]",1571529600
237,"[1564603200, '106.403', '108.404', '105.966', '108.404', '107.560', '290.88927818', 104]",1571529600
238,"[1564617600, '108.404', '108.404', '107.381', '107.381', '107.381', '3.09718015', 1]",1571529600
239,"[1564632000, '107.381', '107.381', '104.931', '105.456', '105.276', '138.15733788', 38]",1571529600
240,"[1564646400, '105.456', '105.456', '104.777', '105.099', '105.124', '24.37338722', 9]",1571529600
241,"[1564660800, '105.100', '106.352', '105.100', '106.352', '106.043', '8.26357230', 10]",1571529600
242,"[1564675200, '106.212', '107.057', '105.323', '105.865', '106.072', '291.74940200', 85]",1571529600
243,"[1564689600, '105.865', '107.525', '105.865', '107.068', '106.928', '243.00607300', 50]",1571529600
244,"[1564704000, '107.282', '109.139', '106.293', '106.417', '107.640', '256.07869083', 134]",1571529600
245,"[1564718400, '106.648', '108.225', '106.196', '107.676', '107.462', '1173.73873755', 237]",1571529600
246,"[1564732800, '108.433', '108.433', '106.578', '106.578', '106.998', '106.81802313', 31]",1571529600
247,"[1564747200, '107.108', '107.108', '106.230', '106.230', '106.620', '31.35794582', 34]",1571529600
248,"[1564761600, '106.402', '106.402', '104.358', '104.650', '105.026', '148.35504843', 74]",1571529600
249,"[1564776000, '105.001', '105.500', '104.547', '104.954', '105.018', '117.83732130', 30]",1571529600
250,"[1564790400, '104.978', '107.692', '104.978', '107.277', '106.116', '613.24900023', 163]",1571529600
251,"[1564804800, '107.032', '107.855', '107.032', '107.855', '107.497', '25.60244341', 14]",1571529600
252,"[1564819200, '107.606', '107.627', '107.017', '107.019', '107.440', '276.73050098', 36]",1571529600
253,"[1564833600, '106.968', '107.867', '106.968', '107.410', '107.284', '76.28635017', 44]",1571529600
254,"[1564848000, '107.231', '108.000', '106.853', '106.853', '107.168', '108.72478802', 32]",1571529600
255,"[1564862400, '106.853', '107.317', '106.042', '106.396', '106.929', '253.00839999', 46]",1571529600
256,"[1564876800, '106.850', '107.335', '106.309', '106.309', '106.905', '107.76342548', 31]",1571529600
257,"[1564891200, '105.049', '105.049', '103.417', '104.269', '104.119', '50.38755475', 58]",1571529600
258,"[1564905600, '104.269', '104.600', '104.269', '104.600', '104.500', '14.28485149', 8]",1571529600
259,"[1564920000, '104.121', '106.434', '104.121', '106.434', '105.555', '34.35572286', 11]",1571529600
260,"[1564934400, '107.083', '107.183', '106.297', '107.183', '106.734', '224.77030465', 59]",1571529600
261,"[1564948800, '106.900', '107.210', '105.660', '106.224', '106.436', '223.21385538', 50]",1571529600
262,"[1564963200, '107.068', '108.647', '106.909', '108.087', '107.748', '627.85686006', 123]",1571529600
263,"[1564977600, '108.779', '108.779', '107.676', '107.676', '108.311', '1071.57554588', 159]",1571529600
264,"[1564992000, '108.101', '113.243', '107.681', '111.983', '111.160', '436.19169337', 178]",1571529600
265,"[1565006400, '110.671', '111.359', '110.081', '110.473', '110.689', '74.40786801', 69]",1571529600
266,"[1565020800, '110.490', '112.301', '109.119', '112.300', '111.776', '369.19362889', 77]",1571529600
267,"[1565035200, '112.300', '112.400', '110.478', '110.647', '111.463', '363.84877941', 117]",1571529600
268,"[1565049600, '110.000', '110.000', '108.291', '108.657', '109.133', '110.96856356', 60]",1571529600
269,"[1565064000, '108.279', '111.250', '108.243', '110.947', '110.389', '901.62688720', 165]",1571529600
270,"[1565078400, '110.957', '111.040', '105.572', '105.763', '109.955', '575.35025442', 168]",1571529600
271,"[1565092800, '106.647', '106.649', '105.099', '105.500', '105.585', '209.17938992', 83]",1571529600
272,"[1565107200, '105.500', '105.600', '104.440', '104.792', '104.809', '281.93652915', 108]",1571529600
273,"[1565121600, '104.792', '106.000', '103.934', '106.000', '105.237', '1454.57306796', 249]",1571529600
274,"[1565136000, '106.438', '107.804', '105.810', '107.500', '107.252', '318.36614891', 56]",1571529600
275,"[1565150400, '106.897', '107.640', '106.616', '106.833', '107.491', '133.08707068', 33]",1571529600
276,"[1565164800, '106.833', '107.830', '106.561', '107.634', '107.189', '380.56518999', 20]",1571529600
277,"[1565179200, '107.830', '110.252', '105.616', '106.007', '108.023', '636.24980102', 151]",1571529600
